EpiRR,states,annotated_probs,corrected_probs,annotated,corrected
IHECRE00004603.3,1,0.55,0.55,Tx_Wk,Tx_Wk
IHECRE00004603.3,2,0.98,0.98,NS,NS
IHECRE00004603.3,3,0.96,0.96,Pr,Pr
IHECRE00004603.3,4,0.64,0.64,Enh,Enh
IHECRE00004603.3,5,0.49,0.22,Het_C,Het_F
IHECRE00004603.3,6,0.92,0.92,Tx_Str,Tx_Str
IHECRE00004603.3,7,0.7,0.7,Het_C,Het_C
IHECRE00004603.3,8,0.44,0.44,Mix,Mix
IHECRE00004603.3,9,0.65,0.65,ReprPC,ReprPC
IHECRE00004603.3,10,0.3,0.3,Rep,Rep
IHECRE00001957.2,1,0.99,0.99,Tx_Str,Tx_Str
IHECRE00001957.2,2,0.38,0.36,Het_F,Rep
IHECRE00001957.2,3,0.97,0.97,Het_C,Het_C
IHECRE00001957.2,4,0.98,0.98,NS,NS
IHECRE00001957.2,5,0.48,0.46,Mix,Tx_Wk
IHECRE00001957.2,6,0.65,0.65,Enh,Enh
IHECRE00001957.2,7,0.34,0.28,Het_F,Mix
IHECRE00001957.2,8,0.57,0.57,ReprPC,ReprPC
IHECRE00001957.2,9,0.96,0.96,Pr,Pr
IHECRE00001957.2,10,0.51,0.51,Het_F,Het_F
IHECRE00001249.1,1,0.97,0.97,Tx_Str,Tx_Str
IHECRE00001249.1,2,0.97,0.97,ReprPC,ReprPC
IHECRE00001249.1,3,0.44,0.43,Het_F,Mix
IHECRE00001249.1,4,1,1,NS,NS
IHECRE00001249.1,5,0.35,0.13,Het_F,Rep
IHECRE00001249.1,6,0.45,0.37,Tx_Str,Tx_Wk
IHECRE00001249.1,7,1,1,Pr,Pr
IHECRE00001249.1,8,0.97,0.97,Het_C,Het_C
IHECRE00001249.1,9,0.64,0.64,Het_F,Het_F
IHECRE00001249.1,10,0.91,0.91,Enh,Enh
IHECRE00000332.2,1,0.94,0.94,Tx_Wk,Tx_Wk
IHECRE00000332.2,2,1,1,Enh,Enh
IHECRE00000332.2,3,0.99,0.99,Het_C,Het_C
IHECRE00000332.2,4,1,1,NS,NS
IHECRE00000332.2,5,1,1,Tx_Str,Tx_Str
IHECRE00000332.2,6,1,1,Pr,Pr
IHECRE00000332.2,7,0.76,0.76,Mix,Mix
IHECRE00000332.2,8,0.8,0.8,Rep,Rep
IHECRE00000332.2,9,0.96,0.96,ReprPC,ReprPC
IHECRE00000332.2,10,0.86,0.86,Het_F,Het_F
IHECRE00000109.3,1,0.53,0.53,Mix,Mix
IHECRE00000109.3,2,0.55,0.55,Tx_Wk,Tx_Wk
IHECRE00000109.3,3,0.9,0.9,ReprPC,ReprPC
IHECRE00000109.3,4,0.99,0.99,NS,NS
IHECRE00000109.3,5,0.92,0.92,Tx_Str,Tx_Str
IHECRE00000109.3,6,1,1,Pr,Pr
IHECRE00000109.3,7,1,1,Het_C,Het_C
IHECRE00000109.3,8,0.32,0.28,Tx_Wk,Rep
IHECRE00000109.3,9,0.94,0.94,Enh,Enh
IHECRE00000109.3,10,0.26,0.24,ReprPC,Het_F
IHECRE00001966.2,1,0.29,0.29,Het_F,Het_F
IHECRE00001966.2,2,0.69,0.69,Tx_Str,Tx_Str
IHECRE00001966.2,3,0.46,0.46,Mix,Mix
IHECRE00001966.2,4,0.97,0.97,NS,NS
IHECRE00001966.2,5,0.3,0.1,Rep,ReprPC
IHECRE00001966.2,6,0.91,0.91,Pr,Pr
IHECRE00001966.2,7,0.41,0.41,Tx_Wk,Tx_Wk
IHECRE00001966.2,8,0.73,0.73,Het_C,Het_C
IHECRE00001966.2,9,0.65,0.65,Enh,Enh
IHECRE00001966.2,10,0.47,0.47,Rep,Rep
IHECRE00000303.2,1,0.39,0.39,Mix,Mix
IHECRE00000303.2,2,0.59,0.59,Tx_Wk,Tx_Wk
IHECRE00000303.2,3,0.99,0.99,Het_C,Het_C
IHECRE00000303.2,4,0.98,0.98,NS,NS
IHECRE00000303.2,5,0.95,0.95,ReprPC,ReprPC
IHECRE00000303.2,6,0.91,0.91,Enh,Enh
IHECRE00000303.2,7,1,1,Tx_Str,Tx_Str
IHECRE00000303.2,8,0.55,0.55,Het_F,Het_F
IHECRE00000303.2,9,0.97,0.97,Pr,Pr
IHECRE00000303.2,10,0.41,0.41,Rep,Rep
IHECRE00000248.2,1,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000248.2,2,0.8,0.8,Het_F,Het_F
IHECRE00000248.2,3,0.54,0.14,ReprPC,Rep
IHECRE00000248.2,4,0.99,0.99,NS,NS
IHECRE00000248.2,5,0.65,0.65,Tx_Wk,Tx_Wk
IHECRE00000248.2,6,0.8,0.8,Enh,Enh
IHECRE00000248.2,7,0.96,0.96,Pr,Pr
IHECRE00000248.2,8,0.52,0.52,Mix,Mix
IHECRE00000248.2,9,0.99,0.99,Het_C,Het_C
IHECRE00000248.2,10,0.74,0.74,ReprPC,ReprPC
IHECRE00000160.3,1,0.93,0.93,ReprPC,ReprPC
IHECRE00000160.3,2,0.92,0.92,Enh,Enh
IHECRE00000160.3,3,0.31,0.27,ReprPC,Het_F
IHECRE00000160.3,4,1,1,NS,NS
IHECRE00000160.3,5,1,1,Pr,Pr
IHECRE00000160.3,6,0.38,0.22,Het_F,Mix
IHECRE00000160.3,7,0.68,0.68,Tx_Wk,Tx_Wk
IHECRE00000160.3,8,0.96,0.96,Tx_Str,Tx_Str
IHECRE00000160.3,9,0.53,0.53,Het_C,Het_C
IHECRE00000160.3,10,0.73,0.73,Rep,Rep
IHECRE00000084.3,1,0.49,0.49,Mix,Mix
IHECRE00000084.3,2,0.96,0.96,Enh,Enh
IHECRE00000084.3,3,0.31,0.31,Het_F,Het_F
IHECRE00000084.3,4,1,1,NS,NS
IHECRE00000084.3,5,1,1,Pr,Pr
IHECRE00000084.3,6,0.59,0.59,Rep,Rep
IHECRE00000084.3,7,0.89,0.89,ReprPC,ReprPC
IHECRE00000084.3,8,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000084.3,9,0.63,0.63,Tx_Wk,Tx_Wk
IHECRE00000084.3,10,0.99,0.99,Het_C,Het_C
IHECRE00003810.1,1,0.87,0.87,Het_F,Het_F
IHECRE00003810.1,2,0.99,0.99,Mix,Mix
IHECRE00003810.1,3,1,1,Tx_Str,Tx_Str
IHECRE00003810.1,4,1,1,NS,NS
IHECRE00003810.1,5,1,1,Pr,Pr
IHECRE00003810.1,6,0.98,0.98,ReprPC,ReprPC
IHECRE00003810.1,7,0.99,0.99,Tx_Wk,Tx_Wk
IHECRE00003810.1,8,0.95,0.95,Rep,Rep
IHECRE00003810.1,9,0.91,0.91,Enh,Enh
IHECRE00003810.1,10,1,1,Het_C,Het_C
IHECRE00001906.1,1,1,1,NS,NS
IHECRE00001906.1,2,1,1,Pr,Pr
IHECRE00001906.1,3,0.83,0.83,Mix,Mix
IHECRE00001906.1,4,0.96,0.96,Tx_Wk,Tx_Wk
IHECRE00001906.1,5,1,1,Het_C,Het_C
IHECRE00001906.1,6,0.94,0.94,Het_F,Het_F
IHECRE00001906.1,7,0.93,0.93,Rep,Rep
IHECRE00001906.1,8,1,1,Enh,Enh
IHECRE00001906.1,9,1,1,Tx_Str,Tx_Str
IHECRE00001906.1,10,0.96,0.96,ReprPC,ReprPC
IHECRE00000048.3,1,0.73,0.73,Tx_Wk,Tx_Wk
IHECRE00000048.3,2,0.94,0.94,Enh,Enh
IHECRE00000048.3,3,1,1,NS,NS
IHECRE00000048.3,4,0.61,0.61,Mix,Mix
IHECRE00000048.3,5,0.87,0.87,ReprPC,ReprPC
IHECRE00000048.3,6,1,1,Pr,Pr
IHECRE00000048.3,7,0.92,0.92,Tx_Str,Tx_Str
IHECRE00000048.3,8,0.86,0.86,Het_C,Het_C
IHECRE00000048.3,9,0.63,0.63,Rep,Rep
IHECRE00000048.3,10,0.49,0.49,Het_F,Het_F
IHECRE00003832.2,1,0.92,0.92,Tx_Str,Tx_Str
IHECRE00003832.2,2,0.74,0.74,ReprPC,ReprPC
IHECRE00003832.2,3,0.42,0.42,Enh,Enh
IHECRE00003832.2,4,0.93,0.93,Pr,Pr
IHECRE00003832.2,5,0.31,0.26,Het_F,Mix
IHECRE00003832.2,6,0.25,0.15,Tx_Str,Rep
IHECRE00003832.2,7,0.53,0.53,Het_F,Het_F
IHECRE00003832.2,8,0.8,0.8,Het_C,Het_C
IHECRE00003832.2,9,0.27,0.22,ReprPC,Tx_Wk
IHECRE00003832.2,10,0.91,0.91,NS,NS
IHECRE00000341.2,1,0.77,0.77,Het_F,Het_F
IHECRE00000341.2,2,1,1,NS,NS
IHECRE00000341.2,3,1,1,Pr,Pr
IHECRE00000341.2,4,0.98,0.98,ReprPC,ReprPC
IHECRE00000341.2,5,0.64,0.64,Mix,Mix
IHECRE00000341.2,6,1,1,Het_C,Het_C
IHECRE00000341.2,7,0.72,0.72,Rep,Rep
IHECRE00000341.2,8,0.77,0.77,Tx_Wk,Tx_Wk
IHECRE00000341.2,9,1,1,Tx_Str,Tx_Str
IHECRE00000341.2,10,0.99,0.99,Enh,Enh
IHECRE00000284.2,1,0.4,0.4,ReprPC,ReprPC
IHECRE00000284.2,2,0.73,0.73,Pr,Pr
IHECRE00000284.2,3,0.99,0.99,Het_C,Het_C
IHECRE00000284.2,4,0.99,0.99,NS,NS
IHECRE00000284.2,5,0.73,0.19,Pr,Enh
IHECRE00000284.2,6,0.55,0.55,Het_F,Het_F
IHECRE00000284.2,7,0.33,0.33,Mix,Mix
IHECRE00000284.2,8,0.85,0.85,Tx_Str,Tx_Str
IHECRE00000284.2,9,0.42,0.42,Rep,Rep
IHECRE00000284.2,10,0.72,0.72,Tx_Wk,Tx_Wk
IHECRE00001471.1,1,0.99,0.99,Tx_Str,Tx_Str
IHECRE00001471.1,2,0.92,0.92,Het_C,Het_C
IHECRE00001471.1,3,1,1,NS,NS
IHECRE00001471.1,4,0.59,0.59,Mix,Mix
IHECRE00001471.1,5,0.7,0.7,Tx_Wk,Tx_Wk
IHECRE00001471.1,6,1,1,Pr,Pr
IHECRE00001471.1,7,0.91,0.91,Enh,Enh
IHECRE00001471.1,8,0.79,0.79,Rep,Rep
IHECRE00001471.1,9,0.75,0.75,Het_F,Het_F
IHECRE00001471.1,10,0.88,0.88,ReprPC,ReprPC
IHECRE00001486.1,1,0.66,0.66,Het_F,Het_F
IHECRE00001486.1,2,0.8,0.8,Enh,Enh
IHECRE00001486.1,3,0.9,0.9,Rep,Rep
IHECRE00001486.1,4,0.81,0.81,Tx_Wk,Tx_Wk
IHECRE00001486.1,5,1,1,NS,NS
IHECRE00001486.1,6,0.99,0.99,Het_C,Het_C
IHECRE00001486.1,7,0.74,0.74,Mix,Mix
IHECRE00001486.1,8,1,1,Tx_Str,Tx_Str
IHECRE00001486.1,9,0.99,0.99,Pr,Pr
IHECRE00001486.1,10,0.63,0.63,ReprPC,ReprPC
IHECRE00004615.1,1,0.33,0.33,Enh,Enh
IHECRE00004615.1,2,0.31,0.29,Tx_Str,Tx_Wk
IHECRE00004615.1,3,0.35,0.35,Het_F,Het_F
IHECRE00004615.1,4,0.98,0.98,NS,NS
IHECRE00004615.1,5,0.4,0.4,Tx_Str,Tx_Str
IHECRE00004615.1,6,1,1,Pr,Pr
IHECRE00004615.1,7,0.39,0.29,Het_F,Mix
IHECRE00004615.1,8,0.34,0.34,Het_C,Het_C
IHECRE00004615.1,9,0.22,0.22,ReprPC,ReprPC
IHECRE00004615.1,10,0.22,0.12,Het_F,Rep
IHECRE00003848.5,1,0.56,0.56,Het_C,Het_C
IHECRE00003848.5,2,0.54,0.54,Mix,Mix
IHECRE00003848.5,3,0.42,0.42,Rep,Rep
IHECRE00003848.5,4,0.96,0.96,NS,NS
IHECRE00003848.5,5,0.61,0.61,Pr,Pr
IHECRE00003848.5,6,0.44,0.08,ReprPC,Tx_Wk
IHECRE00003848.5,7,0.58,0.4,Pr,ReprPC
IHECRE00003848.5,8,0.94,0.94,Tx_Str,Tx_Str
IHECRE00003848.5,9,0.4,0.4,Het_F,Het_F
IHECRE00003848.5,10,0.49,0.49,Enh,Enh
IHECRE00000666.1,1,0.74,0.74,Het_F,Het_F
IHECRE00000666.1,2,0.63,0.63,Tx_Wk,Tx_Wk
IHECRE00000666.1,3,0.93,0.93,Het_C,Het_C
IHECRE00000666.1,4,1,1,NS,NS
IHECRE00000666.1,5,0.66,0.66,Enh,Enh
IHECRE00000666.1,6,1,1,ReprPC,ReprPC
IHECRE00000666.1,7,1,1,Pr,Pr
IHECRE00000666.1,8,0.27,0.27,Rep,Rep
IHECRE00000666.1,9,0.73,0.73,Mix,Mix
IHECRE00000666.1,10,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000250.2,1,0.82,0.82,Enh,Enh
IHECRE00000250.2,2,0.43,0.43,ReprPC,ReprPC
IHECRE00000250.2,3,0.99,0.99,Het_C,Het_C
IHECRE00000250.2,4,0.99,0.99,NS,NS
IHECRE00000250.2,5,1,1,Pr,Pr
IHECRE00000250.2,6,0.56,0.56,Rep,Rep
IHECRE00000250.2,7,0.46,0.46,Mix,Mix
IHECRE00000250.2,8,0.35,0.14,Mix,Tx_Wk
IHECRE00000250.2,9,0.39,0.39,Het_F,Het_F
IHECRE00000250.2,10,0.9,0.9,Tx_Str,Tx_Str
IHECRE00000159.3,1,0.55,0.55,Het_F,Het_F
IHECRE00000159.3,2,0.94,0.94,Tx_Str,Tx_Str
IHECRE00000159.3,3,0.99,0.99,Het_C,Het_C
IHECRE00000159.3,4,0.99,0.99,NS,NS
IHECRE00000159.3,5,0.94,0.94,ReprPC,ReprPC
IHECRE00000159.3,6,1,1,Pr,Pr
IHECRE00000159.3,7,0.67,0.67,Mix,Mix
IHECRE00000159.3,8,0.41,0.32,Het_F,Rep
IHECRE00000159.3,9,0.95,0.95,Enh,Enh
IHECRE00000159.3,10,0.63,0.63,Tx_Wk,Tx_Wk
IHECRE00001904.1,1,1,1,Tx_Str,Tx_Str
IHECRE00001904.1,2,0.95,0.95,Rep,Rep
IHECRE00001904.1,3,0.95,0.95,Het_F,Het_F
IHECRE00001904.1,4,0.78,0.78,Mix,Mix
IHECRE00001904.1,5,0.89,0.89,Tx_Wk,Tx_Wk
IHECRE00001904.1,6,1,1,Pr,Pr
