EpiRR,states,annotated_probs,corrected_probs,annotated,corrected
IHECRE00003834.5,6,0.54,0.54,Tx_Wk,Tx_Wk
IHECRE00003834.5,7,0.92,0.92,Enh,Enh
IHECRE00003834.5,8,0.32,0.32,Rep,Rep
IHECRE00003834.5,9,0.98,0.98,ReprPC,ReprPC
IHECRE00003834.5,10,0.96,0.96,Pr,Pr
IHECRE00000231.3,1,0.93,0.93,Tx_Str,Tx_Str
IHECRE00000231.3,2,0.42,0.42,Mix,Mix
IHECRE00000231.3,3,0.39,0.39,Het_C,Het_C
IHECRE00000231.3,4,0.94,0.94,NS,NS
IHECRE00000231.3,5,0.45,0.45,Het_F,Het_F
IHECRE00000231.3,6,0.94,0.94,Pr,Pr
IHECRE00000231.3,7,0.52,0.52,Enh,Enh
IHECRE00000231.3,8,0.35,0.35,Rep,Rep
IHECRE00000231.3,9,0.72,0.72,ReprPC,ReprPC
IHECRE00000231.3,10,0.28,0.07,Mix,Tx_Wk
IHECRE00000346.2,1,0.98,0.98,NS,NS
IHECRE00000346.2,2,0.94,0.94,Pr,Pr
IHECRE00000346.2,3,0.56,0.56,Tx_Wk,Tx_Wk
IHECRE00000346.2,4,0.45,0.36,Tx_Wk,Mix
IHECRE00000346.2,5,0.45,0.45,Het_F,Het_F
IHECRE00000346.2,6,0.72,0.72,Het_C,Het_C
IHECRE00000346.2,7,0.6,0.6,Rep,Rep
IHECRE00000346.2,8,0.97,0.97,ReprPC,ReprPC
IHECRE00000346.2,9,0.95,0.95,Tx_Str,Tx_Str
IHECRE00000346.2,10,0.84,0.84,Enh,Enh
IHECRE00000728.1,1,0.41,0.41,Rep,Rep
IHECRE00000728.1,2,1,1,NS,NS
IHECRE00000728.1,3,1,1,Pr,Pr
IHECRE00000728.1,4,0.61,0.61,Enh,Enh
IHECRE00000728.1,5,0.65,0.65,Mix,Mix
IHECRE00000728.1,6,0.92,0.92,Tx_Str,Tx_Str
IHECRE00000728.1,7,0.83,0.83,Het_C,Het_C
IHECRE00000728.1,8,0.38,0.38,Het_F,Het_F
IHECRE00000728.1,9,0.97,0.97,ReprPC,ReprPC
IHECRE00000728.1,10,0.63,0.63,Tx_Wk,Tx_Wk
IHECRE00004609.2,1,0.44,0.44,Enh,Enh
IHECRE00004609.2,2,0.52,0.52,Tx_Wk,Tx_Wk
IHECRE00004609.2,3,0.47,0.11,Het_C,Rep
IHECRE00004609.2,4,0.99,0.99,NS,NS
IHECRE00004609.2,5,1,1,Pr,Pr
IHECRE00004609.2,6,0.45,0.45,Het_C,Het_C
IHECRE00004609.2,7,0.59,0.59,ReprPC,ReprPC
IHECRE00004609.2,8,0.38,0.38,Tx_Str,Tx_Str
IHECRE00004609.2,9,0.37,0.37,Het_F,Het_F
IHECRE00004609.2,10,0.54,0.28,Tx_Wk,Mix
IHECRE00000055.3,1,0.47,0.47,Rep,Rep
IHECRE00000055.3,2,0.96,0.96,Tx_Str,Tx_Str
IHECRE00000055.3,3,0.42,0.05,Het_C,Mix
IHECRE00000055.3,4,1,1,NS,NS
IHECRE00000055.3,5,0.48,0.48,Het_F,Het_F
IHECRE00000055.3,6,1,1,Pr,Pr
IHECRE00000055.3,7,0.55,0.55,Tx_Wk,Tx_Wk
IHECRE00000055.3,8,0.47,0.47,Het_C,Het_C
IHECRE00000055.3,9,0.41,0.41,Enh,Enh
IHECRE00000055.3,10,0.95,0.95,ReprPC,ReprPC
IHECRE00000774.3,1,0.73,0.73,Het_C,Het_C
IHECRE00000774.3,2,0.92,0.92,Enh,Enh
IHECRE00000774.3,3,0.99,0.99,NS,NS
IHECRE00000774.3,4,0.74,0.74,Tx_Wk,Tx_Wk
IHECRE00000774.3,5,0.72,0.72,ReprPC,ReprPC
IHECRE00000774.3,6,0.6,0.6,Mix,Mix
IHECRE00000774.3,7,0.84,0.84,Tx_Str,Tx_Str
IHECRE00000774.3,8,0.48,0.48,Rep,Rep
IHECRE00000774.3,9,0.67,0.67,Het_F,Het_F
IHECRE00000774.3,10,0.96,0.96,Pr,Pr
IHECRE00001961.2,1,0.7,0.7,Het_C,Het_C
IHECRE00001961.2,2,0.73,0.73,Enh,Enh
IHECRE00001961.2,3,0.96,0.96,NS,NS
IHECRE00001961.2,4,0.45,0.45,Rep,Rep
IHECRE00001961.2,5,0.35,0.35,Het_F,Het_F
IHECRE00001961.2,6,0.21,0.21,ReprPC,ReprPC
IHECRE00001961.2,7,0.41,0.41,Mix,Mix
IHECRE00001961.2,8,0.86,0.86,Tx_Str,Tx_Str
IHECRE00001961.2,9,0.28,0.28,Tx_Wk,Tx_Wk
IHECRE00001961.2,10,0.94,0.94,Pr,Pr
IHECRE00000304.2,1,0.33,0.33,Het_F,Het_F
IHECRE00000304.2,2,0.9,0.9,Het_C,Het_C
IHECRE00000304.2,3,0.93,0.93,Tx_Str,Tx_Str
IHECRE00000304.2,4,1,1,NS,NS
IHECRE00000304.2,5,1,1,Pr,Pr
IHECRE00000304.2,6,0.95,0.95,Enh,Enh
IHECRE00000304.2,7,0.51,0.51,Mix,Mix
IHECRE00000304.2,8,0.33,0.19,Mix,Rep
IHECRE00000304.2,9,0.65,0.65,Tx_Wk,Tx_Wk
IHECRE00000304.2,10,0.91,0.91,ReprPC,ReprPC
IHECRE00004728.1,1,0.5,0.5,Tx_Wk,Tx_Wk
IHECRE00004728.1,2,0.4,0.4,Mix,Mix
IHECRE00004728.1,3,0.4,0.4,Rep,Rep
IHECRE00004728.1,4,0.99,0.99,NS,NS
IHECRE00004728.1,5,0.41,0.41,Het_F,Het_F
IHECRE00004728.1,6,1,1,Pr,Pr
IHECRE00004728.1,7,0.79,0.79,Tx_Str,Tx_Str
IHECRE00004728.1,8,0.28,0.28,Het_C,Het_C
IHECRE00004728.1,9,0.4,0.4,Enh,Enh
IHECRE00004728.1,10,0.42,0.13,Het_F,ReprPC
IHECRE00000177.3,1,0.99,0.99,NS,NS
IHECRE00000177.3,2,0.63,0.63,Enh,Enh
IHECRE00000177.3,3,0.39,0.33,Rep,Het_F
IHECRE00000177.3,4,0.6,0.6,Rep,Rep
IHECRE00000177.3,5,0.95,0.95,Tx_Str,Tx_Str
IHECRE00000177.3,6,0.93,0.93,Het_C,Het_C
IHECRE00000177.3,7,0.94,0.94,ReprPC,ReprPC
IHECRE00000177.3,8,1,1,Pr,Pr
IHECRE00000177.3,9,0.33,0.33,Mix,Tx_Wk
IHECRE00000177.3,10,0.41,0.3,Rep,Mix
IHECRE00000242.3,1,0.73,0.73,NS,NS
IHECRE00000242.3,2,0.41,0.41,Mix,Mix
IHECRE00000242.3,3,0.67,0.67,ReprPC,ReprPC
IHECRE00000242.3,4,0.31,0.24,Rep,Tx_Wk
IHECRE00000242.3,5,0.68,0.68,Enh,Enh
IHECRE00000242.3,6,0.71,0.71,Tx_Str,Tx_Str
IHECRE00000242.3,7,0.8,0.8,Pr,Pr
IHECRE00000242.3,8,0.47,0.47,Het_C,Het_C
IHECRE00000242.3,9,0.38,0.38,Rep,Rep
IHECRE00000242.3,10,0.38,0.17,Het_C,Het_F
IHECRE00003822.3,1,0.56,0.56,Het_F,Het_F
IHECRE00003822.3,2,0.93,0.93,NS,NS
IHECRE00003822.3,3,0.7,0.7,Het_C,Het_C
IHECRE00003822.3,4,0.46,0.03,Het_F,Enh
IHECRE00003822.3,5,0.75,0.75,Tx_Str,Tx_Str
IHECRE00003822.3,6,0.92,0.92,Pr,Pr
IHECRE00003822.3,7,0.43,0.43,Tx_Wk,Tx_Wk
IHECRE00003822.3,8,0.25,0.17,Het_F,Rep
IHECRE00003822.3,9,0.73,0.73,ReprPC,ReprPC
IHECRE00003822.3,10,0.37,0.37,Mix,Mix
IHECRE00004604.3,1,0.46,0.46,Mix,Mix
IHECRE00004604.3,2,0.28,0.28,Enh,Enh
IHECRE00004604.3,3,0.32,0.32,Rep,Rep
IHECRE00004604.3,4,0.99,0.99,NS,NS
IHECRE00004604.3,5,0.98,0.98,Pr,Pr
IHECRE00004604.3,6,0.33,0.21,Het_C,ReprPC
IHECRE00004604.3,7,0.91,0.91,Het_C,Het_C
IHECRE00004604.3,8,0.88,0.88,Tx_Str,Tx_Str
IHECRE00004604.3,9,0.49,0.49,Het_F,Het_F
IHECRE00004604.3,10,0.37,0.25,Mix,Tx_Wk
IHECRE00000335.2,1,0.74,0.74,Het_F,Het_F
IHECRE00000335.2,2,1,1,NS,NS
IHECRE00000335.2,3,1,1,Pr,Pr
IHECRE00000335.2,4,0.9,0.9,ReprPC,ReprPC
IHECRE00000335.2,5,0.9,0.9,Rep,Rep
IHECRE00000335.2,6,0.73,0.73,Mix,Mix
IHECRE00000335.2,7,0.75,0.75,Tx_Wk,Tx_Wk
IHECRE00000335.2,8,0.93,0.93,Het_C,Het_C
IHECRE00000335.2,9,0.74,0.74,Enh,Enh
IHECRE00000335.2,10,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000265.2,1,0.61,0.61,Rep,Rep
IHECRE00000265.2,2,0.9,0.9,Het_C,Het_C
IHECRE00000265.2,3,0.96,0.96,Tx_Str,Tx_Str
IHECRE00000265.2,4,1,1,NS,NS
IHECRE00000265.2,5,0.8,0.8,Enh,Enh
IHECRE00000265.2,6,0.93,0.93,ReprPC,ReprPC
IHECRE00000265.2,7,0.53,0.53,Tx_Wk,Tx_Wk
IHECRE00000265.2,8,0.54,0.43,Tx_Wk,Mix
IHECRE00000265.2,9,1,1,Pr,Pr
IHECRE00000265.2,10,0.36,0.34,Mix,Het_F
IHECRE00003827.1,1,0.85,0.85,Tx_Str,Tx_Str
IHECRE00003827.1,2,0.24,0.24,Mix,Mix
IHECRE00003827.1,3,0.35,0.35,Het_F,Het_F
IHECRE00003827.1,4,0.89,0.89,NS,NS
IHECRE00003827.1,5,0.38,0.21,Tx_Wk,Enh
IHECRE00003827.1,6,0.26,0.26,Tx_Wk,Tx_Wk
IHECRE00003827.1,7,0.74,0.74,Pr,Pr
IHECRE00003827.1,8,0.78,0.78,Het_C,Het_C
IHECRE00003827.1,9,0.4,0.29,Het_F,Rep
IHECRE00003827.1,10,0.54,0.42,Pr,ReprPC
IHECRE00000027.3,1,0.74,0.74,Tx_Wk,Tx_Wk
IHECRE00000027.3,2,0.77,0.77,Het_F,Het_F
IHECRE00000027.3,3,0.87,0.87,Tx_Str,Tx_Str
IHECRE00000027.3,4,0.99,0.99,NS,NS
IHECRE00000027.3,5,1,1,Pr,Pr
IHECRE00000027.3,6,0.34,0.34,Mix,Mix
IHECRE00000027.3,7,0.68,0.68,ReprPC,ReprPC
IHECRE00000027.3,8,0.98,0.98,Het_C,Het_C
IHECRE00000027.3,9,0.79,0.79,Enh,Enh
IHECRE00000027.3,10,0.52,0.52,Rep,Rep
IHECRE00004602.2,1,0.52,0.52,Het_F,Het_F
IHECRE00004602.2,2,0.96,0.96,NS,NS
IHECRE00004602.2,3,0.94,0.94,Pr,Pr
IHECRE00004602.2,4,0.86,0.86,ReprPC,ReprPC
IHECRE00004602.2,5,0.83,0.83,Het_C,Het_C
IHECRE00004602.2,6,0.57,0.57,Mix,Mix
IHECRE00004602.2,7,0.33,0.33,Tx_Wk,Tx_Wk
IHECRE00004602.2,8,0.58,0.58,Rep,Rep
IHECRE00004602.2,9,0.33,0.33,Tx_Wk,Enh
IHECRE00004602.2,10,0.96,0.96,Tx_Str,Tx_Str
IHECRE00003825.5,1,0.98,0.98,Tx_Str,Tx_Str
IHECRE00003825.5,2,0.28,0.28,Tx_Wk,Tx_Wk
IHECRE00003825.5,3,0.51,0.3,Het_F,Het_C
IHECRE00003825.5,4,0.98,0.98,NS,NS
IHECRE00003825.5,5,0.46,0.46,Mix,Mix
IHECRE00003825.5,6,1,1,Pr,Pr
IHECRE00003825.5,7,0.33,0.14,Het_F,Rep
IHECRE00003825.5,8,0.45,0.45,Het_F,Het_F
IHECRE00003825.5,9,0.59,0.59,ReprPC,ReprPC
IHECRE00003825.5,10,0.4,0.4,Enh,Enh
IHECRE00003716.2,1,0.56,0.56,Rep,Rep
IHECRE00003716.2,2,0.92,0.92,NS,NS
IHECRE00003716.2,3,0.92,0.92,Pr,Pr
IHECRE00003716.2,4,0.56,0.56,Enh,Enh
IHECRE00003716.2,5,0.76,0.76,Tx_Str,Tx_Str
IHECRE00003716.2,6,0.35,0.35,Het_F,Het_F
IHECRE00003716.2,7,0.38,0.38,ReprPC,ReprPC
IHECRE00003716.2,8,0.3,0.27,Mix,Tx_Wk
IHECRE00003716.2,9,0.38,0.24,Enh,Mix
IHECRE00003716.2,10,0.91,0.91,Het_C,Het_C
IHECRE00001335.1,1,0.96,0.96,ReprPC,ReprPC
IHECRE00001335.1,2,0.99,0.99,NS,NS
IHECRE00001335.1,3,0.77,0.77,Enh,Enh
IHECRE00001335.1,4,1,1,Pr,Pr
IHECRE00001335.1,5,0.64,0.64,Rep,Rep
IHECRE00001335.1,6,0.99,0.99,Het_C,Het_C
IHECRE00001335.1,7,0.39,0.33,Rep,Het_F
IHECRE00001335.1,8,0.31,0.2,Het_F,Tx_Wk
IHECRE00001335.1,9,0.92,0.92,Tx_Str,Tx_Str
IHECRE00001335.1,10,0.46,0.46,Mix,Mix
IHECRE00000147.3,1,0.28,0.26,ReprPC,Het_F
IHECRE00000147.3,2,0.97,0.97,Tx_Str,Tx_Str
IHECRE00000147.3,3,0.6,0.6,Rep,Rep
IHECRE00000147.3,4,0.99,0.99,NS,NS
IHECRE00000147.3,5,0.96,0.96,Pr,Pr
IHECRE00000147.3,6,0.57,0.57,Het_C,Het_C
IHECRE00000147.3,7,0.64,0.64,ReprPC,ReprPC
IHECRE00000147.3,8,0.24,0.22,Rep,Mix
IHECRE00000147.3,9,0.45,0.45,Tx_Wk,Tx_Wk
IHECRE00000147.3,10,0.44,0.44,Enh,Enh
IHECRE00000298.2,1,0.68,0.68,ReprPC,ReprPC
IHECRE00000298.2,2,1,1,NS,NS
IHECRE00000298.2,3,1,1,Pr,Pr
IHECRE00000298.2,4,0.73,0.73,Enh,Enh
IHECRE00000298.2,5,0.86,0.86,Rep,Rep
IHECRE00000298.2,6,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000298.2,7,0.83,0.83,Het_F,Het_F
IHECRE00000298.2,8,0.85,0.85,Het_C,Het_C
IHECRE00000298.2,9,0.69,0.69,Mix,Mix
IHECRE00000298.2,10,0.91,0.91,Tx_Wk,Tx_Wk
IHECRE00000347.2,1,0.78,0.78,Rep,Rep
IHECRE00000347.2,2,0.77,0.77,Mix,Mix
IHECRE00000347.2,3,1,1,Het_C,Het_C
IHECRE00000347.2,4,1,1,NS,NS
IHECRE00000347.2,5,1,1,Pr,Pr
IHECRE00000347.2,6,0.78,0.78,Het_F,Het_F
IHECRE00000347.2,7,0.92,0.92,Tx_Wk,Tx_Wk
IHECRE00000347.2,8,1,1,Tx_Str,Tx_Str
IHECRE00000347.2,9,0.98,0.98,Enh,Enh
IHECRE00000347.2,10,0.98,0.98,ReprPC,ReprPC
IHECRE00000016.3,1,0.39,0.13,Het_F,Mix
IHECRE00000016.3,2,0.77,0.77,Tx_Wk,Tx_Wk
IHECRE00000016.3,3,0.92,0.92,ReprPC,ReprPC
IHECRE00000016.3,4,1,1,NS,NS
IHECRE00000016.3,5,1,1,Pr,Pr
IHECRE00000016.3,6,0.94,0.94,Het_C,Het_C
IHECRE00000016.3,7,0.97,0.97,Enh,Enh
IHECRE00000016.3,8,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000016.3,9,0.56,0.56,Het_F,Het_F
IHECRE00000016.3,10,0.56,0.56,Rep,Rep
IHECRE00001900.1,1,0.59,0.59,ReprPC,ReprPC
IHECRE00001900.1,2,1,1,NS,NS
IHECRE00001900.1,3,1,1,Pr,Pr
IHECRE00001900.1,4,0.91,0.91,Enh,Enh
IHECRE00001900.1,5,0.9,0.9,Tx_Wk,Tx_Wk
IHECRE00001900.1,6,0.86,0.86,Het_F,Het_F
IHECRE00001900.1,7,1,1,Tx_Str,Tx_Str
IHECRE00001900.1,8,0.82,0.82,Mix,Mix
IHECRE00001900.1,9,0.7,0.7,Rep,Rep
IHECRE00001900.1,10,0.99,0.99,Het_C,Het_C
IHECRE00000866.3,1,0.81,0.81,Het_C,Het_C
IHECRE00000866.3,2,0.88,0.88,Tx_Str,Tx_Str
IHECRE00000866.3,3,0.54,0.54,Enh,Enh
IHECRE00000866.3,4,0.96,0.96,NS,NS
IHECRE00000866.3,5,0.58,0.58,Tx_Wk,Tx_Wk
IHECRE00000866.3,6,0.87,0.87,Pr,Pr
IHECRE00000866.3,7,0.42,0.42,Rep,Rep
IHECRE00000866.3,8,0.28,0.28,Het_F,Het_F
IHECRE00000866.3,9,0.51,0.51,ReprPC,ReprPC
IHECRE00000866.3,10,0.4,0.13,ReprPC,Mix
IHECRE00000891.3,1,0.54,0.03,Tx_Str,Rep
IHECRE00000891.3,2,0.99,0.99,NS,NS
IHECRE00000891.3,3,0.86,0.86,Pr,Pr
IHECRE00000891.3,4,0.38,0.38,Enh,Enh
IHECRE00000891.3,5,0.33,0.33,Tx_Wk,Tx_Wk
IHECRE00000891.3,6,0.39,0.3,Het_F,Mix
IHECRE00000891.3,7,0.42,0.3,Het_C,Het_F
IHECRE00000891.3,8,0.72,0.72,Het_C,Het_C
IHECRE00000891.3,9,0.39,0.39,ReprPC,ReprPC
IHECRE00000891.3,10,0.68,0.68,Tx_Str,Tx_Str
IHECRE00000124.3,1,0.46,0.46,Rep,Rep
IHECRE00000124.3,2,0.77,0.77,Tx_Str,Tx_Str
IHECRE00000124.3,3,0.41,0.41,Tx_Wk,Tx_Wk
IHECRE00000124.3,4,0.99,0.99,NS,NS
IHECRE00000124.3,5,0.44,0.44,Mix,Mix
IHECRE00000124.3,6,0.63,0.63,Enh,Enh
IHECRE00000124.3,7,1,1,Het_C,Het_C
IHECRE00000124.3,8,0.6,0.6,Het_F,Het_F
IHECRE00000124.3,9,1,1,Pr,Pr
IHECRE00000124.3,10,0.95,0.95,ReprPC,ReprPC
IHECRE00001921.1,1,0.87,0.87,Mix,Mix
IHECRE00001921.1,2,1,1,Tx_Str,Tx_Str
IHECRE00001921.1,3,1,1,Het_C,Het_C
IHECRE00001921.1,4,1,1,NS,NS
IHECRE00001921.1,5,0.95,0.95,Tx_Wk,Tx_Wk
IHECRE00001921.1,6,1,1,ReprPC,ReprPC
IHECRE00001921.1,7,0.73,0.73,Rep,Rep
IHECRE00001921.1,8,1,1,Enh,Enh
IHECRE00001921.1,9,1,1,Pr,Pr
IHECRE00001921.1,10,0.82,0.82,Het_F,Het_F
IHECRE00000126.3,1,0.99,0.99,NS,NS
IHECRE00000126.3,2,0.88,0.88,Enh,Enh
IHECRE00000126.3,3,0.74,0.74,Rep,Rep
IHECRE00000126.3,4,0.66,0.66,Tx_Wk,Tx_Wk
IHECRE00000126.3,5,0.64,0.64,Mix,Mix
IHECRE00000126.3,6,0.94,0.94,Het_C,Het_C
IHECRE00000126.3,7,0.62,0.62,Het_F,Het_F
IHECRE00000126.3,8,0.88,0.88,ReprPC,ReprPC
IHECRE00000126.3,9,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000126.3,10,0.96,0.96,Pr,Pr
IHECRE00001959.2,1,0.49,0.49,Mix,Mix
IHECRE00001959.2,2,0.4,0.4,Tx_Wk,Tx_Wk
IHECRE00001959.2,3,0.78,0.78,Het_C,Het_C
IHECRE00001959.2,4,1,1,NS,NS
IHECRE00001959.2,5,0.52,0.52,ReprPC,ReprPC
IHECRE00001959.2,6,1,1,Pr,Pr
IHECRE00001959.2,7,0.88,0.88,Tx_Str,Tx_Str
IHECRE00001959.2,8,0.34,0.34,Het_F,Het_F
IHECRE00001959.2,9,0.53,0.53,Enh,Enh
IHECRE00001959.2,10,0.39,0.39,Rep,Rep
IHECRE00004610.2,1,0.5,0.5,Het_C,Het_C
IHECRE00004610.2,2,0.42,0.16,Het_C,Rep
IHECRE00004610.2,3,0.4,0.4,Het_F,Het_F
IHECRE00004610.2,4,0.99,0.99,NS,NS
IHECRE00004610.2,5,0.44,0.44,Enh,Enh
IHECRE00004610.2,6,0.51,0.51,Tx_Wk,Tx_Wk
IHECRE00004610.2,7,1,1,Pr,Pr
IHECRE00004610.2,8,0.34,0.34,Mix,Mix
IHECRE00004610.2,9,0.77,0.77,Tx_Str,Tx_Str
IHECRE00004610.2,10,0.51,0.51,ReprPC,ReprPC
IHECRE00001902.1,1,1,1,Tx_Str,Tx_Str
IHECRE00001902.1,2,0.82,0.82,Het_F,Het_F
IHECRE00001902.1,3,0.94,0.94,Het_C,Het_C
IHECRE00001902.1,4,1,1,NS,NS
IHECRE00001902.1,5,0.88,0.88,Tx_Wk,Tx_Wk
IHECRE00001902.1,6,1,1,Pr,Pr
IHECRE00001902.1,7,0.91,0.91,ReprPC,ReprPC
IHECRE00001902.1,8,0.79,0.79,Mix,Mix
IHECRE00001902.1,9,0.89,0.89,Rep,Rep
IHECRE00001902.1,10,0.95,0.95,Enh,Enh
IHECRE00001375.1,1,1,1,Tx_Str,Tx_Str
IHECRE00001375.1,2,1,1,Het_C,Het_C
IHECRE00001375.1,3,0.73,0.73,Het_F,Het_F
IHECRE00001375.1,4,1,1,NS,NS
IHECRE00001375.1,5,0.85,0.85,Mix,Mix
IHECRE00001375.1,6,1,1,Pr,Pr
IHECRE00001375.1,7,0.97,0.97,ReprPC,ReprPC
IHECRE00001375.1,8,0.76,0.76,Rep,Rep
IHECRE00001375.1,9,0.92,0.92,Tx_Wk,Tx_Wk
IHECRE00001375.1,10,1,1,Enh,Enh
IHECRE00000256.2,1,0.96,0.96,ReprPC,ReprPC
IHECRE00000256.2,2,0.31,0.29,ReprPC,Rep
IHECRE00000256.2,3,0.95,0.95,Het_C,Het_C
IHECRE00000256.2,4,1,1,NS,NS
IHECRE00000256.2,5,0.95,0.95,Enh,Enh
IHECRE00000256.2,6,0.47,0.47,Mix,Mix
IHECRE00000256.2,7,0.7,0.7,Tx_Wk,Tx_Wk
IHECRE00000256.2,8,0.97,0.97,Tx_Str,Tx_Str
IHECRE00000256.2,9,0.7,0.7,Het_F,Het_F
IHECRE00000256.2,10,1,1,Pr,Pr
IHECRE00000193.3,1,0.98,0.98,NS,NS
IHECRE00000193.3,2,0.48,0.48,Tx_Wk,Tx_Wk
IHECRE00000193.3,3,0.52,0.4,Tx_Wk,Mix
IHECRE00000193.3,4,0.93,0.93,Enh,Enh
IHECRE00000193.3,5,1,1,Het_C,Het_C
IHECRE00000193.3,6,0.47,0.47,Het_F,Het_F
IHECRE00000193.3,7,0.94,0.94,ReprPC,ReprPC
IHECRE00000193.3,8,0.96,0.96,Pr,Pr
IHECRE00000193.3,9,1,1,Tx_Str,Tx_Str
IHECRE00000193.3,10,0.37,0.21,ReprPC,Rep
IHECRE00000228.3,1,0.49,0.49,Tx_Wk,Tx_Wk
IHECRE00000228.3,2,0.36,0.36,Mix,Mix
IHECRE00000228.3,3,0.43,0.43,Het_C,Het_C
IHECRE00000228.3,4,0.86,0.86,NS,NS
IHECRE00000228.3,5,0.89,0.89,Pr,Pr
IHECRE00000228.3,6,0.28,0.28,Het_F,Het_F
IHECRE00000228.3,7,0.27,0.24,ReprPC,Rep
IHECRE00000228.3,8,0.9,0.9,Tx_Str,Tx_Str
IHECRE00000228.3,9,0.64,0.64,ReprPC,ReprPC
IHECRE00000228.3,10,0.21,0.01,NS,Enh
IHECRE00001962.2,1,0.91,0.91,Het_C,Het_C
IHECRE00001962.2,2,0.5,0.5,ReprPC,ReprPC
IHECRE00001962.2,3,0.34,0.34,Het_F,Het_F
IHECRE00001962.2,4,0.94,0.94,NS,NS
IHECRE00001962.2,5,0.89,0.89,Tx_Str,Tx_Str
IHECRE00001962.2,6,0.42,0.42,Tx_Wk,Tx_Wk
IHECRE00001962.2,7,0.54,0.54,Enh,Enh
IHECRE00001962.2,8,0.56,0.56,Rep,Rep
IHECRE00001962.2,9,0.76,0.76,Pr,Pr
IHECRE00001962.2,10,0.51,0.51,Mix,Mix
IHECRE00001908.1,1,1,1,NS,NS
IHECRE00001908.1,2,1,1,Pr,Pr
IHECRE00001908.1,3,0.96,0.96,Het_F,Het_F
IHECRE00001908.1,4,0.86,0.86,Tx_Wk,Tx_Wk
IHECRE00001908.1,5,0.99,0.99,Mix,Mix
IHECRE00001908.1,6,0.97,0.97,Het_C,Het_C
IHECRE00001908.1,7,0.97,0.97,Rep,Rep
IHECRE00001908.1,8,0.98,0.98,ReprPC,ReprPC
IHECRE00001908.1,9,0.99,0.99,Tx_Str,Tx_Str
IHECRE00001908.1,10,0.98,0.98,Enh,Enh
IHECRE00000155.3,1,0.99,0.99,NS,NS
IHECRE00000155.3,2,1,1,Pr,Pr
IHECRE00000155.3,3,0.92,0.92,Tx_Str,Tx_Str
IHECRE00000155.3,4,0.47,0.47,Tx_Wk,Tx_Wk
IHECRE00000155.3,5,0.48,0.48,Mix,Mix
IHECRE00000155.3,6,0.51,0.23,Het_C,Het_F
IHECRE00000155.3,7,0.96,0.96,ReprPC,ReprPC
IHECRE00000155.3,8,0.78,0.78,Enh,Enh
IHECRE00000155.3,9,0.84,0.84,Het_C,Het_C
IHECRE00000155.3,10,0.46,0.46,Rep,Rep
IHECRE00000317.2,1,0.64,0.64,Tx_Wk,Tx_Wk
IHECRE00000317.2,2,0.88,0.88,Tx_Str,Tx_Str
IHECRE00000317.2,3,0.99,0.99,Het_C,Het_C
IHECRE00000317.2,4,1,1,NS,NS
IHECRE00000317.2,5,0.81,0.81,Enh,Enh
IHECRE00000317.2,6,0.96,0.96,Pr,Pr
IHECRE00000317.2,7,0.59,0.59,Het_F,Het_F
IHECRE00000317.2,8,0.52,0.52,Rep,Rep
IHECRE00000317.2,9,0.87,0.87,ReprPC,ReprPC
IHECRE00000317.2,10,0.43,0.39,Tx_Wk,Mix
IHECRE00003821.3,1,0.38,0.38,Mix,Mix
IHECRE00003821.3,2,0.92,0.92,Het_C,Het_C
IHECRE00003821.3,3,0.25,0.16,Tx_Str,Rep
IHECRE00003821.3,4,1,1,NS,NS
IHECRE00003821.3,5,0.38,0.38,Het_F,Het_F
IHECRE00003821.3,6,0.6,0.6,Enh,Enh
IHECRE00003821.3,7,0.74,0.74,Tx_Str,Tx_Str
IHECRE00003821.3,8,0.43,0.19,Het_F,ReprPC
IHECRE00003821.3,9,0.98,0.98,Pr,Pr
IHECRE00003821.3,10,0.4,0.4,Tx_Wk,Tx_Wk
IHECRE00000174.3,1,0.35,0.28,ReprPC,Het_F
IHECRE00000174.3,2,0.54,0.54,Rep,Rep
IHECRE00000174.3,3,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000174.3,4,1,1,NS,NS
IHECRE00000174.3,5,1,1,Pr,Pr
IHECRE00000174.3,6,0.93,0.93,Het_C,Het_C
IHECRE00000174.3,7,0.54,0.54,Tx_Wk,Tx_Wk
IHECRE00000174.3,8,0.48,0.29,Het_F,Mix
IHECRE00000174.3,9,0.95,0.95,Enh,Enh
IHECRE00000174.3,10,0.97,0.97,ReprPC,ReprPC
IHECRE00000828.1,1,0.74,0.74,ReprPC,ReprPC
IHECRE00000828.1,2,0.99,0.99,NS,NS
IHECRE00000828.1,3,0.53,0.53,Enh,Enh
IHECRE00000828.1,4,1,1,Pr,Pr
IHECRE00000828.1,5,0.68,0.68,Tx_Wk,Tx_Wk
IHECRE00000828.1,6,0.97,0.97,Het_C,Het_C
IHECRE00000828.1,7,0.92,0.92,Tx_Str,Tx_Str
IHECRE00000828.1,8,0.8,0.8,Het_F,Het_F
IHECRE00000828.1,9,0.26,0.2,Tx_Wk,Rep
IHECRE00000828.1,10,0.63,0.2,Tx_Wk,Mix
IHECRE00003845.2,1,0.56,0.56,Rep,Rep
IHECRE00003845.2,2,0.78,0.78,Het_C,Het_C
