EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000043.3,1,33.41722,0.0070081893824444,0.03047,0.871887141138044,1.15169,0,0.00201994155062747,1.15929602888087,0.021617672339694,0.00487794395736634,1.70351985559567,2.64287863159704,1.25053,1.31857,1.8408,1.21441,0.24717,0.71622,0.29183,0.18818,0.22243,0.31616,0.61724,0.663,0.78402,1.26405
IHECRE00000043.3,2,1.14152,0.0328435876575341,29.99448,0.312264872050515,0.76135,0.01,0.534396809571286,4.60809238949817,0.174282707433256,2.45787637088734,3.18331117757838,3.38246371995126,0.28452,0.43707,0.81232,0.26718,4.40081,1.15753,2.67104,15.58807,10.70112,0.06065,1.67462,0.39964,0.81066,0.65439
IHECRE00000043.3,3,9.2193,0.0132443932084274,0.59049,0.947972623506331,1.00984,3.58,0.0512528981630105,0.213973604423043,5.68102372034956,0.319511325129303,1.28491171749599,0.594502407704655,0.69114,0.44641,0.47286,0.89792,3.63465,2.21793,3.08227,0.39536,0.54953,0.93116,1.56768,1.70517,0.68198,0.67869
IHECRE00000043.3,4,11.79066,0.00739007883924201,0.50091,0.869447751119838,0.39458,0,0,0,0,0,0,0.0023317174940173,0.84258,0.47411,0.41038,0.16833,0.30999,0.28553,0.46296,0.39432,0.41132,3.33207,0.70494,0.29972,2.70065,0.15376
IHECRE00000043.3,5,0.81931,0.0519856599235242,51.13339,0.0675287356321839,0.53443,6.32,9.84605911330049,0.198344280240832,0.280172413793103,2.23361384783799,15.0470032840723,0.105569239189929,0.15249,0.1451,0.46847,0.31235,7.62672,1.64838,3.20251,51.18315,22.54612,0.09059,2.6222,0.48916,0.56496,0.21781
IHECRE00000043.3,6,7.86052,0.0115206201038051,0.23508,0.777785583813405,1.06058,0,0.127132218631446,1.63630743290712,0.118842208795841,0.57327525642827,1.31235070956864,1.54589714767458,0.91155,1.11812,0.94006,1.04003,0.66879,0.82873,0.86331,0.64467,0.92926,0.19405,0.89666,0.92035,1.0262,1.20711
IHECRE00000043.3,7,9.81413,0.00918259143317708,0.17483,0.912891273626568,1.08154,0,0.0626324854266031,2.75871091679915,0.19840796679032,0.201234322557852,1.48454336689631,3.47790805511394,1.23235,1.43655,0.6692,1.42637,0.80462,0.90083,0.95001,0.42925,0.91925,0.18799,1.19638,0.94932,0.71596,1.14948
IHECRE00000043.3,8,17.01947,0.0126946407257916,0.29153,0.931756851904973,1.07272,0,0.0300219052337862,0.759818238714893,0.158245755860954,0.120218009231491,1.01714606096957,0.79542076303231,0.96506,0.96864,0.57955,1.08527,0.90455,1.16621,0.97721,0.46689,0.83124,2.13709,1.32455,1.68713,0.7571,1.08988
IHECRE00000043.3,9,3.63549,0.0141741627343779,0.45932,0.627752427110481,0.98891,1.91,2.4473427521985,0.407045859814366,1.1195952021703,6.78467681709417,3.08694161218051,0.594767805160563,0.55368,0.71232,0.46892,0.8611,1.63896,1.42756,2.04728,1.4216,3.48336,0.13805,1.12278,1.21087,0.65462,1.07201
IHECRE00000043.3,10,5.28239,0.0120554476086075,0.2467,0.890253548244416,1.03003,1.005,0.571602336442519,0.556888992962052,2.14467470631854,2.95026603702403,1.52322132459119,0.822607292926928,0.71124,0.69112,0.46401,0.91231,1.66533,1.73905,1.99079,0.62355,1.67086,0.22247,1.35058,1.52692,0.7428,1.05013
