EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000318.2,3,40.5078,0.007415955047901,0.07191,0.876360567184335,1.14107,0,0.335327947100049,2.60024680434934,0.935598034878577,0.869298470278703,0.00208386691191879,2.72886446715872,1.14905,1.30266,1.65625,1.24351,0.34328,0.77219,0.38549,0.23723,0.28238,0.10305,0.73538,0.76222,0.83301,1.28581
IHECRE00000318.2,4,4.80148,0.0114844476564321,0.26228,0.799391341484633,1.02863,9.67,2.65669239651382,1.28898230018507,4.93173945366255,9.64706347574382,1.4375128517423,1.21205374796349,0.69495,0.7873,0.46968,0.85165,1.52501,1.57511,1.85251,0.7356,1.67363,0.13701,1.29771,1.40397,0.72957,1.06751
IHECRE00000318.2,5,8.68733,0.0126354023331643,0.6007,0.930523322422259,1.00429,9.32,1.10437806873977,1.04108019639935,14.6538052373159,1.6686170212766,0.0980769230769231,1.14705400981997,0.6587,0.42551,0.46311,0.88709,3.86313,2.22042,3.31797,0.41078,0.52412,0.43874,1.5518,1.67594,0.67977,0.68672
IHECRE00000318.2,6,0.98345,0.0456269990363058,43.69434,0.092230946594379,0.56392,14.655,27.6533619991276,0.484888141085561,1.99797469932075,5.8320558359818,89.8733408113666,0.173209945784259,0.18971,0.20163,0.45824,0.21635,6.99173,1.68422,3.03007,44.61796,21.93303,0.19207,2.29452,0.70195,0.563,0.30058
IHECRE00000318.2,7,8.16605,0.0133042447281739,0.44401,0.894017883070371,1.06929,0,0.0453973477882102,0.644861339657342,0.154589342754816,0.117480156809602,0.00857250024199013,0.510351127673991,1.89321,1.37214,0.71658,0.48778,0.4738,0.71834,0.57616,0.38168,0.59584,7.95822,0.89997,1.25114,0.69103,0.51593
IHECRE00000318.2,8,8.80561,0.0109886909630649,0.55344,0.837089655627391,1.05121,0,0.546543079561947,6.12412587412587,0.823921361657211,1.13075603641641,0.0638441746932313,2.42198838896952,0.93813,1.03353,0.87166,1.37086,0.95944,0.89688,1.1389,0.75298,1.3501,0.09188,1.06747,1.06818,0.74974,1.25698
IHECRE00000318.2,9,2.70855,0.012833172170653,0.55863,0.621002759014366,0.98312,14.85,9.86333365046142,0.866401864713158,5.00023784606603,19.9723385025212,8.7235832302667,0.867979576951131,0.55578,0.68172,0.4671,0.9507,1.83369,1.55337,2.291,1.40206,3.4823,0.07847,1.19862,1.12689,0.62744,0.99206
IHECRE00000318.2,10,1.22748,0.0256871390275589,24.03926,0.467626197809719,0.82481,0,1.4606220054757,7.18705082135524,1.16812114989733,8.73447125256673,7.60953542094456,2.22933778234086,0.38445,0.58981,0.65224,0.39588,3.66235,1.13704,2.25024,12.35769,9.29869,0.03304,1.27335,0.55033,0.64019,0.81615
IHECRE00000112.3,1,5.55396,0.0123517933143307,0.52213,0.895305087814594,1.03552,2.04,1.30122517955218,0.57631721890277,3.76284024382884,0.725270082684531,1.67822439495443,0.540497314261573,0.75268,0.46373,0.4648,0.89975,3.12721,2.22829,2.79535,0.36331,0.51102,0.45737,1.4921,1.68738,0.70368,0.79184
IHECRE00000112.3,2,1.06427,0.036018002172878,29.85999,0.235398383371824,0.6848,0,0.72459584295612,10.0614896073903,0.405095265588915,2.0513856812933,2.93172632794457,2.229792147806,0.32487,0.30515,0.76835,0.19383,4.58194,1.2116,3.21247,14.04047,12.32688,0.04186,1.49614,0.57631,0.63056,0.58224
IHECRE00000112.3,3,35.50762,0.00948036262872874,0.18103,0.769449817122311,1.1081,0,0.836634430599467,1.44803483974955,0.260042774781477,0.0906794371086727,1.65096708201599,0.928553716446594,0.92433,1.05656,0.85564,1.33508,0.73274,1.03222,0.78695,0.46838,0.60814,0.16996,0.94878,1.1162,0.77785,1.35184
IHECRE00000112.3,4,9.90183,0.00506064042023641,0.48838,0.751445855115758,0.27514,0,0,0,0,0,0,0,0.53847,0.31616,0.30947,0.12724,0.28782,0.22024,0.44967,0.40356,0.39414,0.79473,0.71462,0.25814,3.08217,0.14701
